"","contrast","ratio","SE","df","null","t.ratio","p.value"
"1","Arboreal / Ground",0.92529001125777,0.0466890850948174,82.4827723452031,1,-1.53883886827649,0.419286412559047
"2","Arboreal / Leaf Litter",0.920123343591891,0.0540242102488029,76.376418629005,1,-1.4178460471426,0.492251849372342
"3","Arboreal / Mixed",0.960234371383801,0.0555917359833075,108.829500061418,1,-0.700900620690634,0.896517710939285
"4","Ground / Leaf Litter",0.994416164010183,0.0351460118163968,51.1207746098838,1,-0.158430985251702,0.998565194256853
"5","Ground / Mixed",1.03776584606002,0.0406624489347651,119.79081755116,1,0.946085764366315,0.780039870135654
"6","Leaf Litter / Mixed",1.04359309876362,0.0446006671874822,66.5449922443917,1,0.998410268601087,0.750812557233907
