"","morphism","response","SE","df","lower.CL","upper.CL"
"1","Polymorphic",759.755640951563,558.243568815683,40.4370079851434,172.169007908244,3352.68606685212
"2","Monomorphic",139.894684554879,74.2199187030965,34.6224195106219,47.6276552748244,410.90670228845
