"","diet","response","SE","df","lower.CL","upper.CL"
"1","Omnivore",20.2258904972526,5.14548004156962,22.5502695337848,9.56989532502642,30.8818856694787
"2","Predator",11.6223220889724,5.07503157596357,29.5153735454011,1.25058387649018,21.9940603014546
"3","Specialist",2.81001496930426,11.070804433271,38.3653221711695,-19.594650775911,25.2146807145195
