"","AIC","dAIC","df","weight"
"m2",777.651479333105,0,5,0.390404852914834
"m3",777.797129311472,0.145649978367601,5,0.362984195917564
"m1",778.570447876425,0.918968543320716,5,0.246583335999176
"nullmod",796.764628056439,19.1131487233347,2,2.76151684256505e-05
