"","AIC","dAIC","df","weight"
"nullmod",649.736199683132,0,2,0.642233929741063
"m1",652.230155953242,2.4939562701104,5,0.18455997507406
"m2",653.034879155439,3.29867947230684,5,0.123422431992638
"m3",654.850731147136,5.11453146400459,5,0.0497836631922394
