"","AIC","dAIC","df","weight"
"cs2nb",1287.07571368141,0,5,0.7194578139206
"cs1nb",1289.43226261911,2.35654893769902,5,0.221455889075078
"cs3nb",1292.07471139294,4.99899771153082,5,0.0590862970043219
"cs3",5965.18841234509,4678.11269866368,4,0
"cs1",6283.21467905181,4996.1389653704,4,0
"cs2",6323.70336239445,5036.62764871304,4,0
"nullmod",30130.985677444,28843.9099637626,1,0
