"","AIC","dAIC","df","weight"
"cs2nb",1099.31097021438,0,5,0.535012539856694
"cs1nb",1100.66306295934,1.3520927449581,5,0.272120181680947
"cs3nb",1101.35154603362,2.04057581923917,5,0.19286727846236
"cs2",3543.48937260821,2444.17840239382,4,0
"cs1",3716.99573978205,2617.68476956767,4,0
"cs3",4205.67493223233,3106.36396201794,4,0
"nullmod",16554.8326143921,15455.5216441777,1,0
