"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Arboreal - Ground",1.72645965377388,9.0576688672133,135.987227478079,0.190607503882514,0.997533557196947
"2","Arboreal - Leaf Litter",5.67814699228758,11.013056871541,135.050447930539,0.515583189891677,0.955242083594178
"3","Arboreal - Mixed",4.99302116857855,9.8570668772569,135.99975537874,0.506542283901805,0.957409484389586
"4","Ground - Leaf Litter",3.95168733851369,7.65747497884645,123.130656312961,0.516056186854037,0.955112137934602
"5","Ground - Mixed",3.26656151480466,6.48885748199644,135.859394117918,0.503410889184706,0.958144775201243
"6","Leaf Litter - Mixed",-0.685125823709031,8.77511967628383,128.215684353558,-0.0780759521218489,0.99982845873433
