"","diet","response","SE","df","lower.CL","upper.CL"
"1","Omnivore",41.6815297287722,8.28136794134031,22.126623497387,26.2806978585899,60.6183164219823
"2","Predator",26.1970612273284,6.87192439899419,30.9006469676428,14.0548922903553,42.0893100508999
"3","Specialist",29.1048569010431,14.8286784492946,39.65714726047,6.8462153316551,66.802115941273
