"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Arboreal - Ground",-2.52895848156832,4.71117902472967,125.521880635308,-0.536799486560252,0.949893783883121
"2","Arboreal - Leaf Litter",0.157852873227367,5.59707932760863,116.288157387336,0.0282027221677434,0.999991893555301
"3","Arboreal - Mixed",-1.63364066496638,5.15821011486929,132.148743640619,-0.31670688641728,0.988956706813714
"4","Ground - Leaf Litter",2.68681135479568,3.69992444138157,79.7911583027187,0.726180060529132,0.88634529681233
"5","Ground - Mixed",0.895317816601941,3.4152334414771,136.99953297424,0.262154207594873,0.993662193046783
"6","Leaf Litter - Mixed",-1.79149353819374,4.31321819009762,90.3599593707259,-0.415349620454326,0.975715491937993
