"","diet","response","SE","df","lower.CL","upper.CL"
"1","Omnivore",161.5728516169,14.195682744898,85.4236867238919,135.677500811296,192.41057819841
"2","Predator",132.924990201675,11.2541926537964,84.5516333336321,112.329208819424,157.297048611099
"3","Specialist",108.289709622425,19.2508626006046,79.5181059537193,76.0202649939414,154.257042001151
