"","contrast","ratio","SE","df","null","t.ratio","p.value"
"1","Omnivore / Predator",1.21551900340004,0.0944976042551872,138.46841714531,1,2.5104788872119,0.0350445688938493
"2","Omnivore / Specialist",1.49204252352562,0.248253425925492,81.5606783661499,1,2.40494103543903,0.0479164016842369
"3","Predator / Specialist",1.22749419741863,0.213648103011081,86.8654543648111,1,1.17766289411578,0.469632401584744
