"","morphism","response","SE","df","lower.CL","upper.CL"
"1","Monogyne",213.425798519274,148.413083024118,53.9983243158369,52.938210766771,860.447884690915
"2","Polygyne",263.024141067649,183.004225633637,54.4349800468214,65.2069991957853,1060.95510662368
