"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Arboreal - Ground",-1.65941228427275,0.628914532897795,135.632164593493,-2.63853385073934,0.045421016626322
"2","Arboreal - Leaf Litter",-2.66646463876697,0.762268442629099,116.410538094818,-3.49806510364015,0.00366733798337004
"3","Arboreal - Mixed",-2.10431694116299,0.699660718216661,133.965933116317,-3.0076248192504,0.0164180690050778
"4","Ground - Leaf Litter",-1.00705235449422,0.554621794046176,113.287323528902,-1.81574609094856,0.271330226694537
"5","Ground - Mixed",-0.444904656890238,0.476685111886026,130.45951095654,-0.933330296660521,0.787008939292891
"6","Leaf Litter - Mixed",0.562147697603985,0.631635655335419,116.588606479278,0.889987278038423,0.810062156474688
